Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
7493.390318245117,7.136456072440104,7493.390318245117,478.0296141473641,31815242900.32174,7.136456072440104,478.5021268522548,24363946.40058209,361725154.5709095,669611831629.169,0.0
7465.559630516756,6.832010465114589,7465.559630516756,477.3583590992213,31782142134.649582,6.832010465114589,473.3329252084408,23733459.418383997,351844864.4769293,668890662797.987,0.0
7451.721034035371,6.587195720601143,7451.721034035371,488.1440353561795,31775598940.689106,6.587195720601143,462.17401678940337,22455905.098449796,331969165.7549908,668739134810.6229,0.0
7437.794622307061,5.590709899153531,7437.794622307061,503.7867324703354,31774457758.52491,5.590709899153531,448.8993455473871,21101477.77142085,311288680.3301599,668697552725.8217,0.0
7397.362225075443,4.144632357704534,7397.362225075443,519.5795248703138,31763168740.17089,4.144632357704534,433.34613299957687,19525599.507204942,287012873.07947075,668436944582.354,0.0
7374.59065247589,2.815402745012976,7374.59065247589,530.6590723210047,31777128446.858597,2.815402745012976,419.3082285245363,18141836.845706984,265524775.47196403,668743410984.0144,0.0
7413.9050168329395,0.22008143416714648,7413.9050168329395,536.3312099881545,31819233023.610813,0.22008143416714648,410.18978420368785,17345731.97809588,253163592.0568462,669607755184.928,0.0
7432.024101758831,-1.792994103942462,7432.024101758831,528.9374453210634,31849612324.87626,-1.792994103942462,410.04953299817026,17345995.101549365,253247606.5699756,670243990078.5675,0.0
7415.094903319173,-4.060553822554675,7415.094903319173,518.329333005463,31854543576.436615,-4.060553822554675,419.4671625257402,18316752.978645757,268505819.8682865,670354103477.8604,0.0
7407.358459249095,-5.554027114971578,7407.358459249095,503.1698336490331,31857640312.610878,-5.554027114971578,435.7492010937168,19883082.974850222,292684024.52698505,670414419952.6033,0.0
7368.506715740736,-6.6631215235899495,7368.506715740736,486.5612987200899,31835872438.277607,-6.6631215235899495,450.6984547915928,21328078.2420468,314606210.0039244,669958194130.4272,0.0
7390.720457723907,-7.14009071922976,7390.720457723907,473.658171917847,31844208156.918602,-7.14009071922976,463.6173820651749,22719917.06309979,335927705.9318386,670114388586.7671,0.0
7411.141480206277,-7.6511026101525434,7411.141480206277,471.2914433763207,31860367388.042076,-7.6511026101525434,470.66409373955463,23419960.333176054,346719525.5026456,670448930034.9272,0.0
7413.410029286556,-7.028547202068222,7413.410029286556,475.86267231250224,31861725005.46139,-7.028547202068222,468.1237564416702,23193857.002523314,343337141.9366361,670466808256.4622,0.0
7406.183276772161,-5.774794983736592,7406.183276772161,486.3921912325408,31861064510.135834,-5.774794983736592,457.7791476708892,22047630.3505352,325702720.98039865,670456970683.721,0.0
7412.0175498708495,-4.577379815001612,7412.0175498708495,502.9193682217039,31865654970.96571,-4.577379815001612,443.13380886759546,20528196.92154029,302462758.7599112,670543987371.7712,0.0
7421.833716933232,-3.0612064109532624,7421.833716933232,517.0142426927259,31887857302.1803,-3.0612064109532624,425.7117381563229,18833144.61186074,276309588.6028362,671014240995.8113,0.0
7417.85525746147,-0.9827392011845292,7417.85525746147,797.9014771601034,31975527957.501144,-0.9827392011845292,523.6639231774473,21774709.317980062,323486143.68848705,672783006734.3335,0.0
7604.444648031441,-3.57825375440153,7604.444648031441,648.0636751728023,36309173568.28226,-3.57825375440153,527.8097057620153,29563718.212322492,450138663.7745854,762482561166.3662,0.0
7624.853271256709,-1.322376115134621,7624.853271256709,654.9698981514878,36316485945.13634,-1.322376115134621,509.6110366174304,27610272.893645108,418756185.94252324,762636218848.0858,0.0
7591.374548535938,1.1268830476174776,7591.374548535938,657.3700324066008,36286622757.168915,1.1268830476174776,502.6449881118625,27084626.57177226,410736305.7031544,762019845363.842,0.0
7589.300589751346,3.2507562480963648,7589.300589751346,647.0686922198365,36270072400.13143,3.2507562480963648,506.48483219687944,27956794.179762244,425552932.88009,761665892982.628,0.0
7592.221568310218,5.573850525661489,7592.221568310218,636.0786791357759,36285470183.65667,5.573850525661489,523.7292517459895,30332255.690573636,464355276.0170255,761996318658.6897,0.0
7591.672610357054,7.440716329813959,7591.672610357054,618.193132879062,36261031296.939125,7.440716329813959,544.0132831853741,33115450.635450102,508704787.17765117,761481891474.2012,0.0
7575.037594249484,8.401259490082156,7575.037594249484,600.1936029896126,36225814927.44406,8.401259490082156,562.968895354651,35683528.304629356,549314269.7782291,760717063289.1265,0.0
7640.6912051221525,9.179416197267559,7640.6912051221525,586.148553285728,36244588301.77522,9.179416197267559,576.852360823176,37380168.5965676,576201780.1939462,761075984955.941,0.0
7644.87467349653,9.634707301451638,7644.87467349653,580.0921764941248,36265592906.66427,9.634707301451638,580.883104907125,37539801.68902891,578283483.176859,761514666735.4607,0.0
7576.888144563827,8.991510782087548,7576.888144563827,590.9446942342529,36223798298.18546,8.991510782087548,578.8989445841676,36814457.34666365,566237516.804653,760659054518.9304,0.0
7552.844715444042,7.575479715820696,7552.844715444042,611.1443515319752,36204853847.14332,7.575479715820696,569.3364988314368,35105307.21873655,539100093.5143926,760279765644.7292,0.0
7558.7894352766925,6.055666517593208,7558.7894352766925,641.2127785471534,36273533145.913376,6.055666517593208,552.4156133287763,32651933.721889276,500025037.08202046,761767204589.4768,0.0
7715.733278940295,3.9022379861504657,7715.733278940295,649.8240217986432,36389492658.884605,3.9022379861504657,527.9021845261223,29258354.594296545,444750268.2363513,764181782409.8641,0.0
7767.516239624943,0.8466146626010922,7767.516239624943,922.2450733469897,36249524025.222244,0.8466146626010922,509.20806194028125,27359120.539383534,414593394.08957666,761150079797.9539,0.0
8265.729648157441,0.23648193161149594,8265.729648157441,1090.2513111414737,34702732964.517784,0.23648193161149594,502.1847263935997,27314722.75477151,414571679.5180669,728434340317.9773,0.0
7302.468754304445,-3.5550184343968674,7302.468754304445,711.7969024687088,36383693153.99285,-3.5550184343968674,517.7054157128139,29151799.427013993,444786182.1660332,763908867195.763,0.0
7443.227901452835,-6.410884165614247,7443.227901452835,636.6318184969357,36271370650.22966,-6.410884165614247,530.371680006574,31301534.76874703,479875069.6306934,761513881553.1504,0.0
7433.483093200865,-8.381423914245156,7433.483093200865,850.3053067902542,36485222480.94358,-8.381423914245156,583.793821915874,34783032.31731366,534229391.24877626,766271705695.0337,0.0
5262.789180296995,8.5519994748929,5262.789180296995,573.9405981737741,37217068943.58375,8.5519994748929,561.3253026266275,32392021.651857223,490947022.5462468,784516622738.9385,0.0
5250.460308095147,7.540194315097091,5250.460308095147,589.4390691655178,37210956853.446915,7.540194315097091,549.6324951717276,30727471.998878583,464792041.7767496,784387404413.6567,0.0
5246.142944918081,5.829321338950392,5246.142944918081,609.767137466933,37204120684.20552,5.829321338950392,533.0218947097467,28649933.616104346,432123470.1509312,784239326590.9644,0.0
5251.713749820903,4.76311933908936,5251.713749820903,624.9422997880403,37204992092.596115,4.76311933908936,513.7756011491452,26497869.79237516,398125062.0283904,784258450601.0464,0.0
5254.1163287069885,1.8943485205621355,5254.1163287069885,637.2465807320539,37222692183.34021,1.8943485205621355,499.40492540300676,24913343.078235466,372888031.06289726,784633681531.0881,0.0
5264.832138141581,-0.06587877474849749,5264.832138141581,641.3947838766059,37235139334.090485,-0.06587877474849749,489.7481041499473,24069860.34034321,359534196.169405,784892104367.2549,0.0
5263.273679732881,-2.314668834527489,5263.273679732881,637.8593007405116,37255498798.67216,-2.314668834527489,491.9116429389255,24459010.486455955,366095556.4487753,785327799044.5884,0.0
5270.262335095783,-4.974354086707546,5270.262335095783,625.0233697822572,37254255307.27214,-4.974354086707546,501.1507244711226,25744612.334820505,386930020.63043815,785289757703.4067,0.0
5286.853638759136,-6.71906948139339,5286.853638759136,600.5478065489124,37273802990.44768,-6.71906948139339,511.43478302598555,27118323.76551109,408658482.948755,785692427378.7301,0.0
5292.963016984997,-7.9964926349476055,5292.963016984997,575.4076555658745,37277561673.04803,-7.9964926349476055,523.6478158933318,28731595.67394399,433663243.17171234,785766670245.1122,0.0
5301.569923383865,-8.950632587532981,5301.569923383865,560.706394836065,37283300500.20363,-8.950632587532981,542.875432221731,30969029.971848264,468826517.39975387,785890368819.9452,0.0
5304.470396825521,-9.521244287113742,5304.470396825521,577.7569072770283,37352527497.7211,-9.521244287113742,560.5166000299115,32819780.96371852,498206710.18145025,787416386977.3455,0.0
